State or territory,Year,Births
New South Wales,2021,99300
Victoria,2021,76414
Queensland,2021,64261
South Australia,2021,19783
Western Australia,2021,34065
Tasmania,2021,6027
Northern Territory,2021,3736
Australian Capital Territory,2021,6410
Australia,2021,309996
New South Wales,2022,95758
Victoria,2022,76187
Queensland,2022,62313
South Australia,2022,19502
Western Australia,2022,31474
Tasmania,2022,5498
Northern Territory,2022,3577
Australian Capital Territory,2022,6375
Australia,2022,300684